datetime,actual_price,baseline_fair_value,improved_fair_value,baseline_spread,improved_spread
2026-04-15 06:00:00+02:00,148.44,152.94232240907738,168.80307839139084,-4.5023224090773795,-20.363078391390843
2026-04-15 07:00:00+02:00,159.55,158.4639612343582,181.5888656412626,1.0860387656418027,-22.03886564126259
2026-04-15 08:00:00+02:00,140.1,141.1521305809883,160.30643934645434,-1.0521305809883188,-20.206439346454346
2026-04-15 09:00:00+02:00,116.32,116.19219493835084,135.40185319811042,0.1278050616491555,-19.081853198110423
2026-04-15 10:00:00+02:00,100.8,94.26095334212826,108.38455373042243,6.539046657871737,-7.584553730422428
2026-04-15 11:00:00+02:00,78.94,78.27280842438057,75.7503283368444,0.6671915756194267,3.1896716631555933
2026-04-15 12:00:00+02:00,58.32,69.66910164513621,65.47389816900277,-11.349101645136209,-7.153898169002765
2026-04-15 13:00:00+02:00,50.23,68.85590713484893,74.43995821361604,-18.625907134848937,-24.20995821361604
2026-04-15 14:00:00+02:00,67.26,74.49498910519098,82.09705047696858,-7.2349891051909765,-14.837050476968571
2026-04-15 15:00:00+02:00,81.49,87.44520725930079,107.76348763529727,-5.955207259300792,-26.273487635297272
2026-04-15 16:00:00+02:00,99.26,106.40164123809751,124.24558755128675,-7.141641238097506,-24.98558755128674
2026-04-15 17:00:00+02:00,124.84,131.98866463211232,139.0790067464417,-7.148664632112315,-14.239006746441703
2026-04-15 18:00:00+02:00,141.9,156.78078536634757,161.39997757059763,-14.880785366347567,-19.499977570597622
2026-04-15 19:00:00+02:00,180.08,173.87175196581023,194.5468881361669,6.208248034189779,-14.466888136166887
2026-04-15 20:00:00+02:00,180.8,174.01559600114703,186.78471810994827,6.78440399885298,-5.984718109948261
2026-04-15 21:00:00+02:00,148.08,163.18442568095583,162.73273455139446,-15.104425680955814,-14.652734551394445
2026-04-15 22:00:00+02:00,132.69,149.2544642107097,152.51035055970522,-16.5644642107097,-19.82035055970522
2026-04-15 23:00:00+02:00,117.77,135.4694558677832,142.6414480900667,-17.699455867783215,-24.871448090066693
2026-04-16 00:00:00+02:00,106.22,125.72239304060523,134.19236027493466,-19.502393040605227,-27.97236027493466
